id;job_title;surname;name;patrynomic;login;password;services;last_login
101;Менеджер по работе с клиетами ;Иванов;Иван;Иванович;Ivanov@namecomp.ru;2L6KZG;;15:05:2022 13:13:00
102;Менеджер по работе с клиентами;Петров;Петр;Петрович;petrov@namecomp.ru;uzWC67;;15:05:2022 13:13:01
103;Администратор;Федоров;Федор;Федорович;fedorov@namecomp.ru;8ntwUp;;15:05:2022 13:13:02
104;Лаборант;Миронов;Вениамин;Куприянович;mironov@namecomp.ru;YOyhfR;34, 31, 353, 336;15:05:2022 13:13:03
105;Лаборант;Ширяев;Ермолай;Вениаминович;shiryev@namecomp.ru;RSbvHv;98, 45, 89, 99, 123;15:05:2022 13:13:04
106;Лаборант;Игнатов;Кассиан;Васильевич;ignatov@namecomp.ru;rwVDh9;92, 45, 57, 88;15:05:2022 13:13:05
107;Начальник ОТК;Хохлов;Владимир;Мэлсович;hohlov@namecomp.ru;LdNyos;;15:05:2022 13:13:06
108;Администратор;Стрелков;Мстислав;Георгьевич;strelkov@namecomp.ru;gynQMT;;15:05:2022 13:13:07
109;Контролер ОТК;Беляева;Лилия;Наумовна;belyeva@@namecomp.ru;AtnDjr;92, 45, 57, 88, 44;15:05:2022 13:13:08
110;Контролер ОТК;Смирнова;Ульяна;Гордеевна;smirnova@@namecomp.ru;JlFRCZ;98, 45, 89, 353, 336, 34;15:05:2022 13:13:09
